,Unnamed: 0,Lyrics,Genre
0,0,"나는 지구 내 이름을 알고시겠습니까 모두의 여호와는 나의 상처를 느낄시겠습니까 것을 누구입니까? 나는 밝은 새벽 별은 내 지금까지 궁금 마음의 길을 빛을 선택하는 것, 누구입니까? 때문이 아니 내가 누구의 그러나 때문에 당신은 내가 꽃이 빠르게 바람에 바다 A를 증기에 던져 물결 오늘과 내일가는 A를 여기 페이딩 나는 누구의 youve 때문이 아니라 필자가 무슨 짓을의하지만 때문에 무슨 짓을 아직도 당신은 내 말 듣고 때 나는 너의 오전, 임 떨어지는 경우 임 주님 당신은 날 잡을 호출하고 내가 너의 오전 누군지 당신은 나에게 말했다 내가 누구, 사랑으로 나에게 우리의 죄겠습니까 모습을보고 보는 눈이 나를 다시 상승하는 것이? 누가, I 나는 그 바다는 비를 통해 전화 나에 폭풍을 진정겠습니까 진정 음성? 때문이 아니 내가 누구의 때문이 아니라 무엇을 당신은 내가 꽃이 빠르게 바람에 바다 A를 증기에 던져 물결 오늘과 내일가는 A를 여기 페이딩 나는 누구 때문이 아니라 필자가 무슨 짓을의 그러나 때문에 수행의 youve의 그럼에도 불구하고 당신은 내 말 듣고 임 주님 당신 캐치를 호출 할 때 내게 임 떨어지는 때 당신은 내가 때문이 아니 내가 누군지의 너의 오전 누군지 얘기하지만 때문에 youve를 없음으로 인해 필자가 무슨 짓을의하지만 때문에 무슨 짓을 당신이 누군지 내가 꽃이 빨리 퇴색입니다 여기에 오늘과 내일가는 A가 임 당신은 내가 너의 오전 누군지 얘기 떨어지는 경우 임 저를 주님 당신의 캐치를 호출 할 때 여전히 당신은 내 말 듣고 바람에 바다 A를 증기에 던져 물결, 내가 너의 오전, 나는 내가 누구하여야한다 너의 오전 무서움? 내가 누구를 두려워 하는가? 내가 너의 오전 왜냐하면, 나는 너의 오전",Christian
1,1,"당신은 죽고 당신이 임 당신은 임 건재 비난하고, 받아 버림했기 때문에 다시 임 용서 상승하기 때문에 당신이 임 허용 버림 되었기 때문 임 당신은 임 건재 비난 그리고했다, 용서, 당신의 정신은 당신의 정신 안에, 내 안에있다 당신은 죽었다가 다시 놀라운 사랑 장미 때문에 나를, 어떻게 당신은 나의 왕, 나를 위해 죽을 것을 할 수 있는가? 당신은 죽었다가 다시 살아 있기 때문에 놀라운 사랑 모두 내가 당신이 임 당신은 임 건재 비난하고, 받아 버림되었다 때문에 임 용서 명예를 할, 내가 그 사실을 알고 그리고 그 내 기쁨이 당신을 존중하기 위해, 당신의 정신은 내 안에있다 놀라운 사랑, 어떻게 당신은 나의 왕, 나를 위해 죽을 것을 할 수 있는가? 놀라운 사랑과 당신은 당신은 나의 왕 놀라운 사랑입니다 내 왕이다, 내가하는 모든 일에서 나는 당신을 존중하는 모든 당신을 존중하기에 당신은 당신은 나의 왕 예수이다 나의 왕이다, 나는 그것의 진실을 알고 그리고 그 내 기쁨이 당신을 존중, 어떻게 당신은 나의 왕, 나를 위해 죽을 것을 할 수 있는가? 놀라운 사랑과 어떻게 당신은 나의 왕, 나를 위해 죽을 것을 할 수있다, 나는 그것의 진실을 알고 그리고 그 내 기쁨이 당신에게 놀라운 사랑을 존중? 놀라운 사랑 모두에서 나는 모든에, 당신을 존중하는 모든 일에서 당신을 존중하지, 나는 그것의 진실을 알고 그리고 그 내 기쁨이 당신을 존중하는 나는, 내가 당신을 존경하게 않는다",Christian
2,2,"그는 평화가 그에게 그리고 그의 상처에 의해라고 우리에게 가져왔다 처벌은 우리의 죄를 위해 분쇄 우리의 허물을 관통 한 그의 상처에 의해 공개 영광, 우리가 치유되는 그의 상처에 의해 그분은 우리의 죄를 짓 눌린 우리의 허물을 관통 된 우리를 가져왔다 처벌은 평화 그에게 그리고 그의 상처가 있었다, 우리는 우리는 당신이 우리가 우리는 그는이었다 저장됩니다 저장됩니다 당신의 은혜로 값을 지불을 위해 우리는 치유되어 준 당신의 희생과 삶 치유하는 치유 그의 상처에 의해 평화가 그에게 그리고 그의 상처에 의해라고 우리에게 가져왔다 처벌은 우리의 죄를 위해 우리의 허물을 관통 그리고 분쇄, 우리는 우리가 당신은 당신에 의해 가격을 지불을 위해 우리는 치유되어 준 당신의 희생과 삶 치유하는 치유 그의 상처에 의해 우리는 우리는 그가 우리의 죄를 위해 평화가 그에게 그리고 그의 상처에 의해, 그의 상처로 우리가 나음 그리고 그의 상처에 의해라고 우리에게 가져왔다 처벌을 분쇄 우리의 허물을 관통 한 저장 저장 은혜, 그의 상처로 내 죄를 어떻게 씻을 수 있습니까? 아무것도 예수의 피",Christian
3,3,"물, 하늘과 땅의 모든 피조물의 하늘과 땅 주님의 모든 창조 주님의 하늘과 땅 주님의 주님은 하늘이 우리 은하 당신은 거룩을 넘어 경이의 높은 하나님을 주님 께 당신의 장막 영광입니다, 거룩한는 우주는 당신을 선언 위엄 당신 거룩한, 거룩한 하늘의 주님과 내가 어둠 속에서 우연히 발견했을 때 나는 내가 우리 은하를 넘어 경이로움 당신은 거룩, 거룩하게됩니다의 밤 하나님 께서 당신의 이름을 호출 빛을 축하 이른 아침에 하늘과 땅의 지구 주님은 우주는 폐하를 선언하면, 거룩하신 하나님 하늘과 땅 성령의 주님 하늘과 땅 할렐루야 주님 께 하늘과 땅 할렐루야 주님 께 하늘과 땅 할렐루야의 하늘과 땅 주님의 거룩, 거룩하신 주님,이다 우리 은하를 넘어 경이의 당신은 거룩한 우주는 하늘과 땅 Halleluj의 주에 하늘과 땅 할렐루야의 주에 폐하 당신입니다 거룩한, 거룩한 하늘의 주님과 하늘과 땅 할렐루야의 땅 주님의 거룩한 선언된다 아 하늘과 땅의 주님 하늘과 땅 할렐루야 주님 께 하늘과 땅 할렐루야 주님 께 하늘과 땅 할렐루야의 주에",Christian
4,4,"난 단지 내가 난 단지 당신의 얼굴은 내 앞에있을 때 내 눈은 내가 당신의 영광 어떤 것 내 마음의 느낌에 의해 그래에만 둘러싸인 상상할 수있는 표시되는 내용을 상상할 수있는 당신의 옆에 걸을 때 같이 일 무슨 상상할 수 있는가? 나는 당신이 예수님 춤 것인가? 또는 당신의 두려움에 여전히? 내가 떨어질 것입니다 당신의 존재 또는 내 무릎에 서 것인가? 나는 할렐루야를 노래 할 것인가? 나는 전혀 말을 할 수 있습니까? 난 단지 나는 단지 그 날이 올 때 나는 단지 상상할 수있는 상상할 수있는 상상할 수 그리고 나 자신이 내가 할 모든 영원히 때 난 단지 상상할 수있는 일에 서 찾을 영원히 당신을 숭배 난 단지 그래 난 단지 둘러싸인 상상할 수있는, 상상할 수있는 당신의 영광으로 내 마음은 무엇을 느낄 것인가? 나는 당신이 예수님 춤 것인가? 또는 당신의 두려움에 여전히? 내가 떨어질 것입니다 당신의 존재 또는 내 무릎에 서 것인가? 나는 할렐루야를 노래 할 것인가? 나는 전혀 말을 할 수 있습니까? 나는 단지 내가 당신의 영광 어떤 것 내 마음의 느낌 만 둘러싸인 상상할 수 있지 않을까요? 나는 당신이 예수님 춤 것인가? 또는 당신의 두려움에 여전히? 내가 떨어질 것입니다 당신의 존재 또는 내 무릎에 서 것인가? 나는 할렐루야를 노래 할 것인가? 나는 전혀 말을 할 수 있습니까? 난 단지 상상, 그래 난 단지 그래 난 단지 난 단지 내가 단지 모두 내가 영원 할 것입니다 때 난 단지 상상할 수있는 상상할 수있는 상상할 수있는 상상할 수있는, 난 단지 상상할 수있는 상상할 수 있습니다, 영원히 난 단지 상상할 수있는 당신을 예배",Christian
5,5,"나는 하나님의 의지가 무엇 이해하는 숙련 있지 않다, 하나님은 내가 그분의 오른편에 알고 계획 것을 그리스도 께서 나를 구원하기 위해 죽으 내 구주 나는 그의 말과 행동에서 그분을 하나, 내가 읽은이 스탠드 그리고 내 마음 I에서 그는 높은 곳에 그의 자리를 떠나 내 구주 내 구주의 사랑을 만나기 전에 당신은 내가 그렇게 한 번 이상 그것을 계산했다 죽을 죄 사람을 위해 올 것이라는 나의 구세주가 될 그분의 필요를 찾아 내 구주 나를 위해 항상 거기에 내 구원자를 살고 나의 하나님 그는 나의 하나님 그는 나의 하나님 HES 항상 내 구주의 사랑이 될 거이다,했다, 내 구주 나의 하나님 그는이었다 나를 위해 항상 거기에 내 은인을 살고, 나의 하나님 그는 나의 하나님 HES 항상 예, 살고 죽는 일, 할 거입니다 나 일단 그는 높은 곳에 그의 자리를 떠나 그리고 내가 알기 전에 당신은 내가 그렇게 한 번 이상 그것을 계산했다 죽을 죄 사람을 위해 올 것이라고 내 구주로 사망 그는 내 왕이 살아 계심을이 봄부터, 내 위안을 내 힘을 가지고 내 구주 내 구주의 사랑이 나의 구주 나의 하나님 그는이었다 나를 위해 항상 거기에 내 은인을 살고, 나의 하나님 그는 항상 내 하나님 배아 줄기 거 나입니다 전자 내 구주 사랑, 내 구주 나의 하나님 그는이었다 나를 위해 항상 거기에 내 은인을 살고, 나의 하나님 그는 나의 하나님 HES 항상 내 구주의 사랑이 될 거이다, 나의 구주 나의 하나님 그는, 나의 하나님 그는이었다 나를 위해 항상 거기에 내 구원자를 살고 나의 하나님 HES 항상 내 구주의 사랑이 될거야되고, 나의 구주 나의 하나님 그는이었다 나를 위해 항상 거기에 내 은인을 살고, 나의 하나님 그는 나의 하나님 HES 항상 내 구주의 사랑이 될 거이다, 내 구주는 나를 내 하나님을 위해 항상 나의 구원자을 살고 그는 나의 하나님 그는 나의 하나님 HES 항상 내 구주의 사랑이 될 거이다,했다, 내 구주 나의 하나님 그는이었다 나를 위해 항상 거기에 내 은인을 살고, 나의 하나님 그분이 나의 하나님 HES 항상 내 구주 생활이 될거야, 내 구주 내 구주 사랑 삶, 나의 구주 나의 구주의 삶을 사랑",Christian
6,6,"이것은이 내 일용 할 양식 내가 나를 당신의 거룩한 존재 생활을 호흡하는 공기이다 이것은 공기가 나는 이것은이 당신의 아주 단어 나 내가 얘기를 내 일용 할 양식, 당신과 나에 대한 임 절망, 임 당신없이 손실 호흡이다 나는이를 호흡하는 공기는 내가 나이에 거룩한 존재 생활을 호흡하는 공기이 당신의 아주 단어 나 그리고, 당신과 나에 대한 임 절망적 인 얘기를 내 일용 할 양식 내 일용 할 양식입니다, 임 당신과 나, 임없이 손실 당신 임 당신 임 당신 글쎄 임에 대한 당신 임에 밖으로 외침 분께 임에 밖으로 외침을 위해 당신 임없이 절망 절망 절망 손실없이 손실 당신 임 절망 지금 임 당신없이 절망적 인 손실없이 당신과 나는 필사적 임 손실 당신 임 손실에 대해, 임, 임 당신 주님 네없이 손실, 손실 임은 당신 임은 하나님에 대한 갈망 얼마나 많은 당신의 당신을위한 필사적 인 당신 임없이 손실없이 손실 당신 임없이 손실? 당신은 그분에 대한 배고파? 나는 열어 홍수 게이트를 원하는 하나님의 더 원해?",Christian
7,7,"위엄있는 왕 옷의 화려 함은 온 땅을하자 모든 즐거워 지구 그는 그것은 우리의 하나님, 우리 하나님이 얼마나 큰 나와 함께 노래 얼마나 큰 그의 목소리에서 그의 목소리 떨림에 전율 숨길 빛과 어둠 시도에서 자신을 감싸는 기뻐 그리고 모두가 나이 우리 하나님 나이 방법 좋은 방법 대단한 볼, 그는 스탠드 그리고 시간이 시작 그의 손에 있고 최종 시작 및 종료 한 아버지, 영, 아들 사자의 신성 세와 어린 양 사자와 어린 양 우리의 하나님이 얼마나 위대, 얼마나 큰 것이 하나님 우리 모두가 우리 하나님 얼마나 큰 얼마나 대단한 볼 것입니다 나와 함께 노래를 우리 하나님과 모든 방법 중대하다 (모든 이름 위에 이름 (우리의 하나님이 얼마나 위대, 나와 함께 노래) 우리의 찬양의) 가치를 (어떻게 큰, 내 마음은 얼마나 위대한 우리의 하나님이며, 모든 볼 (모든 이름 위에) 이름, (우리의 하나님이 얼마나 위대한 우리의 하나님이 얼마나 위대 노래 나와 함께 노래합니다) 우리의 하나님이 얼마나 위대 참조 우리의 찬양의) 가치 (어떻게 큰, 내 마음은 우리의 하나님, 나와 함께 노래를 얼마나 위대한 우리의 하나님이 얼마나 위대 노래합니다) 우리의 하나님이 얼마나 위대 어떻게 위대한 우리의 하나님이며, 모두가 볼 수 있습니다, 우리의 하나님이며, 모두가 우리 하나님 얼마나 큰 우리 하나님 얼마나 큰 어떻게 좋은이다, 노래 볼 것이다 어떻게 훌륭한 나와 함께 노래를, 우리의 하나님이 얼마나 위대한 우리의 하나님이 얼마나 위대한 얼마나 대단한 위대한 우리의 하나님이며, 우리 하나님 얼마나 큰 얼마나 대단한 모두가 볼 것이다 어떻게 나와 함께",Christian
8,8,"모든 사람은 결코 모두가 구주의 그는 그는 장미와 정복 영원히 저장 구원의 저자 마이티이다 구주 그는 저장 내 하나님은 전능있는 산을 이동할 수 있습니다 나라의 희망을 용서 친절을 필요로 날하자 자비 가을을 실패하지 연민 A를 사랑 그게 필요 당신은 저를 발견하면 무덤을 정복 무덤 예수 그래서 데려다 내 모든 두려움과 다시 내가 다 내가 지금 항복을 믿고 따르는 내 인생을주고 내 인생을 기입 실패 그래, 난 구주 께서 나의 하나님이 저장 마이티있는 산을 이동할 수 있습니다 항복 그분은 상승하고 빛 무덤 샤인를 정복 무덤 예수님을 정복하고 빛을 전 세계의 참조가 부활하신 왕 예수의 영광을 노래하고 있었하자 전 세계의 참조가 노래 있었하자 영원히 저장 구원의 저자 인 강이다 그는를 저장하는 나의 하나님이 전능있는 산을 이동할 수 부활하신 왕 예수 구세주 그는의 영광 그는 장미와 무덤 구주 Y 정복 무덤 예수님을 정복 영원히 저장 구원의 저자 인 강이다 OU는 예를 영원히 저장 구원 당신의 저자에게 강력한 있습니다 증가하고 정복 저장 강력한있는 산 하나님을 이동할 수 있습니다 무덤 예를 정복 저장할 강력한했다 무덤",Christian
9,9,"풍부 땅에서 당신의 이름이 복이 어디에서 당신은 다시 켜 병이 부어 모든 축복이 여러분의 이름이 찬송 광야 다닐지라도 임 사막의 장소에서 발견했을 때 당신의 이름 당신의 이름을 찬송 할 복이 풍부 흐름의 흐름 주님의 어둠 닫히고 아직도 내가 당신의 이름 당신의 영광스러운 이름은 태양이 때 세계의 모든 날에 아래로 빛나는 당신의 이름을 찬송 할 복이 주님의 이름으로 축복 복이 주님의 이름을 찬송 말할 것이다 때 찬양 당신의 이름이 찬송 오퍼링 프로그래머 통증 당신은 병이 부어 모든 축복 찬양 되돌아 귀하의 이름이 비록 고통으로 표시된 도로에 이름이 복을받을 복이되어야로 할 때, 주님은 여전히 ​​내가 복이 있나 니 말 것의 어둠 닫히고 주님의 이름은 당신의 이름 당신은 당신의 이름 모든 축복이 될 줄 내 마음이 복을 주 말을 선택합니다 당신은 줄 빼앗아 멀리 걸릴 당신의 영광스러운 이름이 찬송 하리로다주의 이름을 찬송 할 축복 당신은 아픈 차례 다시 부어 보내고 것은, 주님 정지 화상의 어둠 닫히고은 당신의 이름 당신의 영광스러운 이름을 찬송 할 복이 있나 니 여호와의 이름을 찬송 할 복이 주님의 이름이 여호와의 이름이 찬송 말거야 때 찬양 당신의 이름 당신은 포기하고 내 마음이 주님을 말을 선택합니다 당신은 줄 빼앗아 멀리 걸릴 당신의 영광스러운 이름이 찬송 하리로다주의 이름을 찬송 할 축복, 당신의 이름이 찬송",Christian
